cust_id,Customer_ID,lead_id,ml_unified_proba
C00001,CUST000001,0,0.016835359903409897
C00002,CUST000002,1,0.9723003894215839
C00003,CUST000003,2,0.01770203537960067
C00004,CUST000004,3,0.0024027060151559456
C00005,CUST000005,4,0.972067893627682
C00006,CUST000006,5,0.9683274888154179
C00007,CUST000007,6,0.025415473324779753
C00008,CUST000008,7,0.011266203329055695
C00009,CUST000009,8,0.000665956045977306
C00010,CUST000010,9,0.9709107219915049
C00011,CUST000011,10,0.9864021233777479
C00012,CUST000012,11,0.9772616788155198
C00013,CUST000013,12,0.9715562926992671
C00014,CUST000014,13,0.010252333542534181
C00015,CUST000015,14,0.0242553129859685
C00016,CUST000016,15,0.003560710732892969
C00017,CUST000017,16,0.027221995047948443
C00018,CUST000018,17,0.9640304503742597
C00019,CUST000019,18,0.9821634416233176
C00020,CUST000020,19,0.9653595538922902
C00021,CUST000021,20,0.9887925187889849
C00022,CUST000022,21,0.04192455469999468
C00023,CUST000023,22,0.9681182895135494
C00024,CUST000024,23,0.020188500873101096
C00025,CUST000025,24,0.02581773247797269
C00026,CUST000026,25,0.9914466081888456
C00027,CUST000027,26,0.9422014585858398
C00028,CUST000028,27,0.9773021569911909
C00029,CUST000029,28,0.011581717919565212
C00030,CUST000030,29,0.967003001985337
C00031,CUST000031,30,0.9505208225112721
C00032,CUST000032,31,0.9510563727514306
C00033,CUST000033,32,0.02281974706037657
C00034,CUST000034,33,0.03208819979133172
C00035,CUST000035,34,0.9715865993609456
C00036,CUST000036,35,0.9395417388761429
C00037,CUST000037,36,0.012021344947516563
C00038,CUST000038,37,0.00897009923760413
C00039,CUST000039,38,0.008385891857509521
C00040,CUST000040,39,0.9805944616562162
C00041,CUST000041,40,0.9576186399657162
C00042,CUST000042,41,0.012349857475536973
C00043,CUST000043,42,0.014504641861416364
C00044,CUST000044,43,0.01744298628680689
C00045,CUST000045,44,0.03363325505774605
C00046,CUST000046,45,0.01537843565286934
C00047,CUST000047,46,0.023068890796046196
C00048,CUST000048,47,0.9693240326075373
C00049,CUST000049,48,0.023319960842172194
C00050,CUST000050,49,0.9786381777827116
C00051,CUST000051,50,0.0011971694440095551
C00052,CUST000052,51,0.004029957199987006
C00053,CUST000053,52,0.019474742775163405
C00054,CUST000054,53,0.004040108348038392
C00055,CUST000055,54,0.9736653345353696
C00056,CUST000056,55,0.025872853997601697
C00057,CUST000057,56,0.947261622251431
C00058,CUST000058,57,0.03833486010651083
C00059,CUST000059,58,0.010434382437893944
C00060,CUST000060,59,0.00951933228395536
C00061,CUST000061,60,0.014531968861276811
C00062,CUST000062,61,0.009778790187387448
C00063,CUST000063,62,0.010931783052976624
C00064,CUST000064,63,0.9837082465982038
C00065,CUST000065,64,0.008960403233412878
C00066,CUST000066,65,0.9601253587128651
C00067,CUST000067,66,0.013284855107718683
C00068,CUST000068,67,0.9557085886144387
C00069,CUST000069,68,0.9826591754262286
C00070,CUST000070,69,0.017672528763504787
C00071,CUST000071,70,0.005075363444700743
C00072,CUST000072,71,0.963109610295813
C00073,CUST000073,72,0.016871714076806342
C00074,CUST000074,73,0.004023887224965173
C00075,CUST000075,74,0.0036917696461816318
C00076,CUST000076,75,0.9710808000414026
C00077,CUST000077,76,0.015637867405959745
C00078,CUST000078,77,0.9752044720999783
C00079,CUST000079,78,0.010664840543331047
C00080,CUST000080,79,0.02139644259881464
C00081,CUST000081,80,0.010722487533067857
C00082,CUST000082,81,0.00657022525441186
C00083,CUST000083,82,0.9596205137261602
C00084,CUST000084,83,0.017597449189292017
C00085,CUST000085,84,0.0018129618626011063
C00086,CUST000086,85,0.9627401584124955
C00087,CUST000087,86,0.010989947721007037
C00088,CUST000088,87,0.9772523847528307
C00089,CUST000089,88,0.009141772434691267
C00090,CUST000090,89,0.009215970193754
C00091,CUST000091,90,0.9481181587249964
C00092,CUST000092,91,0.003928178872410826
C00093,CUST000093,92,0.004451997325143853
C00094,CUST000094,93,0.018273162534860693
C00095,CUST000095,94,0.016164097411848946
C00096,CUST000096,95,0.9711254087955639
C00097,CUST000097,96,0.005347582282387387
C00098,CUST000098,97,0.9790486023838105
C00099,CUST000099,98,0.005061615651079407
C00100,CUST000100,99,0.004757205334272434
C00101,CUST000101,100,0.009026596869029355
C00102,CUST000102,101,0.006181035455734568
C00103,CUST000103,102,0.029008148522430992
C00104,CUST000104,103,0.012854744633170559
C00105,CUST000105,104,0.00511011113884858
C00106,CUST000106,105,0.021028332658462514
C00107,CUST000107,106,0.012189866059565157
C00108,CUST000108,107,0.03179950413962404
C00109,CUST000109,108,0.009833091486912787
C00110,CUST000110,109,0.0045187383085779995
C00111,CUST000111,110,0.015757931413257795
C00112,CUST000112,111,0.0007844891171391519
C00113,CUST000113,112,0.033076236294218346
C00114,CUST000114,113,0.9691120754810872
C00115,CUST000115,114,0.9694504878497654
C00116,CUST000116,115,0.001550235217477588
C00117,CUST000117,116,0.9894233557346227
C00118,CUST000118,117,0.019015556980606377
C00119,CUST000119,118,0.01655583307262862
C00120,CUST000120,119,0.06752797354344905
C00121,CUST000121,120,0.005978118342653882
C00122,CUST000122,121,0.970469023473474
C00123,CUST000123,122,0.0063181836979830245
C00124,CUST000124,123,0.01744368048468156
C00125,CUST000125,124,0.009087663306227386
C00126,CUST000126,125,0.008147853927700247
C00127,CUST000127,126,0.008256973169687319
C00128,CUST000128,127,0.9622200881771018
C00129,CUST000129,128,0.0039452658723861805
C00130,CUST000130,129,0.01572364639845923
C00131,CUST000131,130,0.9727578334561218
C00132,CUST000132,131,0.011291228012315068
C00133,CUST000133,132,0.008605305333971632
C00134,CUST000134,133,0.9781034791992078
C00135,CUST000135,134,0.015945877910230458
C00136,CUST000136,135,0.03044773408200544
C00137,CUST000137,136,0.009552998897264792
C00138,CUST000138,137,0.9773351452913848
C00139,CUST000139,138,0.9579509100929415
C00140,CUST000140,139,0.9521289931027067
C00141,CUST000141,140,0.9852121475659591
C00142,CUST000142,141,0.005863471200774073
C00143,CUST000143,142,0.017108466252913606
C00144,CUST000144,143,0.9766628019715976
C00145,CUST000145,144,0.9768552977899999
C00146,CUST000146,145,0.020722245955476476
C00147,CUST000147,146,0.02035389758042517
C00148,CUST000148,147,0.9601613706200077
C00149,CUST000149,148,0.020826842408290015
C00150,CUST000150,149,0.9641437975483119
C00151,CUST000151,150,0.017995089337913057
C00152,CUST000152,151,0.04148080108527176
C00153,CUST000153,152,0.01618796089791743
C00154,CUST000154,153,0.01503311500336343
C00155,CUST000155,154,0.03598192244449502
C00156,CUST000156,155,0.001073161549282854
C00157,CUST000157,156,0.9861295536569654
C00158,CUST000158,157,0.9715982670011476
C00159,CUST000159,158,0.9422827487801736
C00160,CUST000160,159,0.0174783173275566
C00161,CUST000161,160,0.006559402884526329
C00162,CUST000162,161,0.034354085717497665
C00163,CUST000163,162,0.9725304557179802
C00164,CUST000164,163,0.005749863979339887
C00165,CUST000165,164,0.022227997638805237
