model_id,model_name,mae,rmse,mape,smape,r2,forecast_bias,auc,directional_accuracy,precision_at_10pct,precision_at_20pct,production_model,business_score,rank,is_best
expected_value_ranker,Expected Value Ranker,82075.93723474271,145270.415282306,232.2602668174083,135.67062713972916,-0.3671189634068792,40410.41425145137,0.9086452762923352,0.78,1.0,1.0,True,0.9551613190730839,1,True
cltv_rank_baseline,CLTV Rank Baseline,82075.93723474271,145270.415282306,232.2602668174083,135.67062713972916,-0.3671189634068792,40410.41425145137,0.9077540106951871,0.78,1.0,1.0,False,0.9049385026737968,2,False
propensity_rank_baseline,Propensity Rank Baseline,102464.28926599999,124243.59930613266,389.7165473294486,120.30177645964979,0.0,-6.402842700481415e-12,0.9126559714795008,0.74,1.0,1.0,False,0.9021639928698751,3,False
mean_value_baseline,Mean Value Baseline,102464.28926599999,124243.59930613266,389.7165473294486,120.30177645964979,0.0,-6.402842700481415e-12,0.5,,0.8,0.75,False,0.5925,4,False
