feature,mean_abs_shap,importance_std
account_count,17662.01878778853,4905.14352104355
avg_balance,7775.423787357902,3598.4641872115603
occupation_freq,4080.9177592377546,4032.4830486493543
chosen_product_freq,3959.6024844717376,2511.1776817235964
age,3899.874986459159,2208.6403177415227
recency_days,3592.2074848632346,3879.469243006296
customer_segment_freq,3459.7395130207024,1890.1284960518192
total_balance,3457.337351150718,5111.116632673593
state_freq,3034.9539570804864,1751.4518835780107
active_account_count,2815.406256805787,1164.5309748163004
best_second_option_freq,2391.673601300705,3543.0798309402285
annual_income,1631.094273795894,1657.292644855411
lead_source_freq,795.9668488166571,542.5556708546978
lead_age_days,627.2618699179056,3052.2185448744053
marital_status_freq,510.5343242737308,554.0861549330527
gender_freq,352.9362212564811,608.6879867276981
credit_txn_count_365,341.23623827336814,1925.6444929655322
closed_account_count,57.9250458831375,356.415014968467
active_days_365,0.0,0.0
txn_count_365,-4.273579485881783,913.6874812426273
max_txn_amt_365,-297.28330123498745,2284.3176022321827
risk_score,-350.4517574262536,7164.613149167519
best_first_option_freq,-532.343341801421,571.1157023938306
debit_txn_count_365,-846.373783038167,1204.8557749699023
dormant_account_count,-1347.2496694054935,4120.865282576804
city_freq,-1540.4370686521688,2771.4890622626504
avg_txn_amt_365,-2657.022440412993,3410.9697268325876
tenure_days,-3097.24630003755,2612.4258255104646
total_txn_amt_365,-3260.9793940252894,3454.264678128011
